id,title,price
43443,StatTrak™ Falchion,175.59
34274,CS:GO Weapon Case 2,10.53
777385,Classic | Forest DDPAT (Factory New),275.99
779198,M4A1-S | Player Two (Field-Tested),16.64
42438,Bayonet | Ultraviolet (Field-Tested),203.12
40103,Sticker | FaZe Clan (Holo) | Boston 2018,35.31
900525,AWP | Chromatic Aberration (Minimal Wear),12.36
759625,Talon | Forest DDPAT (Minimal Wear),244.29
39086,StatTrak™ Music Kit | Blitz Kids. The Good Youth,11.19
33869,AK-47 | Bloodsport (Field-Tested),67.28
42420,Bayonet | Safari Mesh (Minimal Wear),190.13
871636,SSG 08 | Turbo Peek (Factory New),12.15
835610,Sir Bloody Miami Darryl | The Professionals,41.16
43046,Karambit | Ultraviolet (Minimal Wear),629.94
38743,StatTrak™ Glock-18 | Water Elemental (Field-Tested),10.93
38271,StatTrak™ AUG | Torque (Minimal Wear),10.61
35046,Glock-18 | Reactor (Factory New),10.15
34905,Galil AR | Cerberus (Well-Worn),10.93
34073,AWP | Corticera (Minimal Wear),10.25
45471,Hand Wraps | Cobalt Skulls (Field-Tested),334.4
927378,FAMAS | Waters of Nephthys (Minimal Wear),107.41
927362,P250 | Apep's Curse (Minimal Wear),101.43
773771,MP9 | Hydra (Factory New),11.7
900597,StatTrak™ AK-47 | Ice Coaled (Field-Tested),11.58
877164,Souvenir USP-S | Orange Anolis (Factory New),15.37
835808,StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),16.98
773757,FAMAS | Commemoration (Minimal Wear),11.19
39279,StatTrak™ P250 | See Ya Later (Minimal Wear),14.14
37698,Souvenir Glock-18 | Reactor (Field-Tested),13.38
36340,R8 Revolver | Fade (Factory New),16.4
43151,Moto | Cool Mint (Field-Tested),260.36
871449,FAMAS | Meltdown (Minimal Wear),22.96
781694,Desert Eagle | Printstream (Battle-Scarred),23.35
34101,AWP | Man-o'-war (Field-Tested),25.53
871825,StatTrak™ Glock-18 | Snack Attack (Minimal Wear),19.3
871443,USP-S | Whiteout (Minimal Wear),27
773764,StatTrak™ FAMAS | Commemoration (Field-Tested),22.81
763400,AWP | Neo-Noir (Minimal Wear),21.35
38129,Souvenir XM1014 | Bone Machine (Factory New),22.69
34286,CZ75-Auto | Emerald (Factory New),18.85
33860,AK-47 | Aquamarine Revenge (Field-Tested),22.77
43248,Specialist | Foundation (Well-Worn),184.47
38222,StatTrak™ AK-47 | Redline (Well-Worn),28.56
34071,AWP | Corticera (Factory New),29.59
